nombre,categoria,seccion,descripcion,dimensiones,imagen
AP39,Aparador,Comedor,Aparador valenciano con espejo,185x56x208 (cm),https://atrezzovazquez.es/admin/img_prod/AP39/AP39-720x540.png
AR39,Armario,Dormitorio,Armario caoba 2 puertas,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/AR39/AR39-720x540.png
BAC39,Banco,Rústico,Banco de pino pata recortada,100x20x45 (cm),https://atrezzovazquez.es/admin/img_prod/BAC39/BAC39-1-720x540.png
BAN39,Banqueta,Dormitorio,Banqueta nogal cojín skay verde,65x40x40 (cm),https://atrezzovazquez.es/admin/img_prod/BAN39/BAN39-1-720x540.png
BAU39,Baul,Almacenaje,Baúl de madera forrado pelo cinchas cuero,56x30x35 (cm),https://atrezzovazquez.es/admin/img_prod/BAU39/BAU39-1-720x540.png
BIO39,Biombo,Despacho,Biombo 3 hojas nogal y cristal,156x4x182 (cm),https://atrezzovazquez.es/admin/img_prod/BIO39/BIO39-720x540.png
CA39,Cama,Dormitorio,Cama Luis XVI pintada blanca,140x190x140 (cm),https://atrezzovazquez.es/admin/img_prod/CA39/CA39-720x540.png
CO39,Cocinas,Electrodomestico,Frigorífico americano 1 puerta y cajón,60x59x125 (cm),https://atrezzovazquez.es/admin/img_prod/CO39/CO39-1-720x540.png
COM39,Comoda,Dormitorio,Tocador nogal 3 cajones patas torneadas con espejo,87x48x168 (cm),https://atrezzovazquez.es/admin/img_prod/COM39/COM39-1-720x540.png
CON39,Consola,Recibidor,Consola metal con cristales,104x32x80 (cm),https://atrezzovazquez.es/admin/img_prod/CON39/CON39-1-720x540.png
CU39,Cuadro,Paisaje,Cuadro marco fino negro lámina partido de tenis,185x5x78 (cm),https://atrezzovazquez.es/admin/img_prod/CU39/CU39-720x540.png
ANU39,Carteles y anuncios,Tienda,Cartel anuncio farmacia,10x1x5 (cm),https://atrezzovazquez.es/admin/img_prod/ANU39/ANU39-720x540.png
ESP39,Espejo,Salón,Espejo marco caoba liso media luna al aire,106x15x74 (cm),https://atrezzovazquez.es/admin/img_prod/ESP39/ESP39-720x540.png
ES39,Estanteria,Dormitorio,Estantería de mimbre medio punto,34x33x173 (cm),https://atrezzovazquez.es/admin/img_prod/ES39/ES39-1-720x540.png
EST39,Estufa,Calefaccion,Estufa chubesqui de chapa negra,50x30x63 (cm),https://atrezzovazquez.es/admin/img_prod/EST39/EST39-720x540.png
ESTAT39,Estatua,Busto,Busto bronce figurado mujer,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/ESTAT39/ESTAT39-720x540.png
F39,Fichero,Descatalogado,descatalogado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/F39/LOGOTIPO VAZQUEZ- 720x540.png
MUS39,Instrumentos musicales,Musica,Gaita roja,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/MUS39/MUS39 (INM26)-720x540.png
ADO39,Adornos,Salón,Huevos loza chinos,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ADO39/ADO39-720x540.png
DPT39,Deporte,Bicicleta,Bicicleta antigua blanca Torrot,170x55x100 (cm),https://atrezzovazquez.es/admin/img_prod/DPT39/DPT39-720x540.png
LAM39,Lámpara,Salón,Lámpara de mesa mármol flor,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/LAM39/LAM39-720x540.png
FUM39,Artículos de fumador,Cenicero,Ceniceros cristal colores diferentes,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/FUM39/FUM39-720X540.png
M39,Mesa,Auxiliar,Mesa japonesa redonda patas despuntadas,30x30x45 (cm),https://atrezzovazquez.es/admin/img_prod/M39/M39-1-720x540.png
BYC39,Atrezzo de bar y cafetería,Bar y cafetería,Vasos cristal duralex antiguo,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BYC39/BYC39(BAR39-720x540).png
COL39,Atrezzo colegio,Colegio,Portalibros cuero de colegio antiguo,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/COL39/COL39-720x540.png
DES39,Atrezzo despacho,Despacho,Máquina de escribir portáil Olivetti Lettera con su caja,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/DES39/DES39-1-720x540.jpg
BA39,Baño,Lavabo,Lavabo de pared medio punto 2 grifos,57x45x10 (cm),https://atrezzovazquez.es/admin/img_prod/BA39/BA39-720x540.png
BEB39,Bebé,Cochecito,Silla de bebé antigua,59x42x91 (cm),https://atrezzovazquez.es/admin/img_prod/BEB39/BEB39-720x540.png
CST39,Moda y costura,Máquinas de coser,Máquina de coser ALFA con mueble formica,46x79x58 (cm),https://atrezzovazquez.es/admin/img_prod/CST39/CST39-720x540.png
CRI39,Cristalería,,Vasos antiguos Cynar,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CRI39/CRI39-720x540.png
MC39,Macetero,Jardín,Macetero de barro redondo pintado,20x20x65 (cm),https://atrezzovazquez.es/admin/img_prod/MC39/MC39-1-720x540.png
ME39,Mesilla,Dormitorio,Mesilla crema y oro 1 cajón,40x38x48 (cm),https://atrezzovazquez.es/admin/img_prod/ME39/ME39-1-720x540.png
VET39,Ventilador,,Ventilador de mesa pequeño verde,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/VET39/VET39-720x540.png
REL39,Reloj,Cocina,Reloj de pared de cocina formica azul,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/REL39/REL39-720x540.png
TEL39,Telefonía,,Teléfono de mesa con pantalla,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TEL39/TLF39-720x540.png
MYN39,Maletas y neceseres de viaje,Viaje,Maleta jaspeada gris cantoneras cuero marrón,65x30x25 (cm),https://atrezzovazquez.es/admin/img_prod/MYN39/MYN39-720x540.png
JUG39,Juguetes,Juguete,Llaveros de coches,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JUG39/JUG39-720x540.png
JAR39,Jarrones y jarras,Adorno,Jarrón barro dibujo torero,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JAR39/JAR39-720x540.png
MYS39,Tocadiscos y altavoces,Electrónica,Tocadiscos con cassette Agra tapa plástico,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MYS39/MYS39-720x540.png
TP39,Tapices y estandartes,Salón,Tapiz pequeño bordado campesinos con ocas,75x0x65 (cm),https://atrezzovazquez.es/admin/img_prod/TP39/TP39-720x540.png
ML39,Librería,Comedor,MUEBLE LIBRERÍA NOGAL 3 CUERPOS,300x47x230 (cm),https://atrezzovazquez.es/admin/img_prod/ML39/ML39-720x540.png
MED39,Atrezzo medicina,Hospital,Frascos de laboratorio antiguos cristal caramelo tapon corcho,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MED39/MED39-720x540.png
HOS39,Hospitales,Hospital,Carro de hospital tubo crema con metacrilato,60x40x81 (cm),https://atrezzovazquez.es/admin/img_prod/HOS39/HOS39-1-720x540.png
VAA39,Atrezzo vario,Juzgados,Mástil de bandera pie niquelado redondo,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/VAA39/VAA39-720x540.png
RAD39,Radios,,Radio antigua nogal dial cristal corinto 4 mandos,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/RAD39/RAD39-720x540.png
SI39,Sillón,Salón,Sillón nogal tapizado tela cachemir a juego sofá S-39,55x50x84 (cm),https://atrezzovazquez.es/admin/img_prod/SI39/SI39-1-720x540.png
MV39,Muebles varios,Descatalogado,,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MV39/LOGOTIPO VAZQUEZ- 720x540.png
SIL39,Silla,Sillería,Silla nogal tapizada tela cachemir,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/SIL39/SIL39 (HAY 4) 720X540.png
S39,Sofá,Curvado,Sofá curvado nogal tapizado tela flores,135x50x84 (cm),https://atrezzovazquez.es/admin/img_prod/S39/S39-1-720x540.png
TYV39,Televisores y vídeos,Televisor,"Televisión portátil caja blanca Radiola 14""",47x36x33 (cm),https://atrezzovazquez.es/admin/img_prod/TYV39/TYV39-720x540.png
PV39,Pie de vela,Medieval,Pie de vela pletina hierro,90x10x130 (cm),https://atrezzovazquez.es/admin/img_prod/PV39/PV39-720x540.png
PER39,Perchero,Despacho,Perchero-paragüero de pie varillas negras con ganchos grises,60x60x166 (cm),https://atrezzovazquez.es/admin/img_prod/PER39/PER39-720x540.png
CDM39,Centro de mesa,,Centro de mesa de chapa dibujos flores,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/CDM39/CDM39-720x540.png
FIG39,Figuras,Adorno,Figura de mujer cubista,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/FIG39/FIG39-720x540.png
PLA39,Playa,Sombrillas,Sombrilla tela azul con lunares borde fleco,0x120x0 (cm),https://atrezzovazquez.es/admin/img_prod/PLA39/PLA39-720x540.png
REG39,Religión,Cruces,Crucifijo de mesa madera Cristo plateado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/REG39/REG39-720x540.png
RU39,Rural,,Barbacoa rectangular hierro,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/RU39/RU39-1-720x540.png
ALF40,Alfombra,Arabe,Alfombra persa verde y ocre,195x140x1 (cm),https://atrezzovazquez.es/admin/img_prod/ALF40/ALF40-720x540.png
AFC40,Alfombra de cama,Arabe,Alfombrin de cama nudos persa ocre,120x60x1 (cm),https://atrezzovazquez.es/admin/img_prod/AFC40/AFC40-720x540.png
